brand,color,engine,gear,fuel,route,year,mileage,price
Toyota,Black,4-cylinder(I4),automatic,petrol,Foreign Used,10,186051,3855000
Mercedes Benz,Black,6-cylinder(V6),automatic,petrol,Foreign Used,12,134999,4965000
Mercedes Benz,Silver,6-cylinder(I6),automatic,petrol,Foreign Used,16,195268,3690000
Lexus,Silver,4-cylinder(I4),automatic,petrol,Foreign Used,7,23330,8940000
Honda,Silver,4-cylinder(I4),automatic,petrol,Foreign Used,15,111872,1775000
Kia,Black,4-cylinder(I4),automatic,petrol,Locally used,17,153413,455000
Ford,Wine,6-cylinder(I6),automatic,petrol,Foreign Used,7,149209,9930000
Kia,Blue,4-cylinder(I4),automatic,petrol,Locally used,10,55620,2015000
Toyota,Gold,4-cylinder(I4),automatic,petrol,Foreign Used,12,190480,3375000
Toyota,Silver,4-cylinder(I4),automatic,petrol,Locally used,18,163312,1445000
Toyota,Black,4-cylinder(I4),automatic,petrol,Foreign Used,8,65040,6515000
Ford,Black,4-cylinder(I4),automatic,petrol,Foreign Used,11,151669,5790000
Toyota,White,4-cylinder(I4),automatic,petrol,Locally used,26,119294,1015000
Volvo,White,6-cylinder(I6),manual,diesel,Locally used,26,0,6915000
Toyota,Gold,4-cylinder(I4),manual,diesel,Locally used,8,0,16690000
Toyota,Black,4-cylinder(I4),automatic,petrol,Foreign Used,2,2700,15015000
Toyota,Blue,4-cylinder(I4),automatic,petrol,Foreign Used,6,50586,7015000
Lexus,Silver,4-cylinder(I4),automatic,petrol,Foreign Used,18,85441,4015000
Hyundai,Silver,4-cylinder(I4),automatic,petrol,Locally used,10,101791,1995000
Toyota,Black,4-cylinder(I4),automatic,petrol,Foreign Used,9,144000,3215000
Toyota,Silver,4-cylinder(I4),automatic,petrol,Foreign Used,18,179982,2315000
Chevrolet,Black,6-cylinder(I6),automatic,petrol,Foreign Used,9,66336,7715000
others,Gold,4-cylinder(I4),automatic,petrol,Locally used,6,68308,1415000
Toyota,Black,4-cylinder(I4),automatic,petrol,Locally used,14,182282,1225000
Toyota,Silver,4-cylinder(I4),automatic,petrol,Foreign Used,10,22494,3535000
others,White,4-cylinder(I4),manual,diesel,Locally used,21,111817,6015000
Toyota,Black,6-cylinder(I6),automatic,petrol,Locally used,16,219407,1665000
Toyota,White,4-cylinder(I4),automatic,petrol,Foreign Used,11,110515,3645000
Ford,Black,6-cylinder(V6),automatic,petrol,Locally used,9,78551,8015000
Mercedes Benz,Silver,4-cylinder(I4),automatic,petrol,Foreign Used,8,61886,9915000
Toyota,Blue,4-cylinder(I4),automatic,petrol,Foreign Used,19,0,1715000
Toyota,Silver,4-cylinder(I4),automatic,petrol,Foreign Used,15,94803,3315000
Toyota,Silver,4-cylinder(I4),automatic,petrol,Foreign Used,10,121000,4635000
Honda,Silver,4-cylinder(I4),automatic,petrol,Locally used,9,16703,2985000
Mercedes Benz,Black,6-cylinder(V6),automatic,petrol,Locally used,12,99819,3645000
Ford,Silver,4-cylinder(I4),automatic,petrol,Foreign Used,16,207762,3215000
Toyota,Black,4-cylinder(I4),automatic,petrol,Foreign Used,8,55028,13515000
Ford,White,6-cylinder(V6),automatic,petrol,Foreign Used,5,42164,15015000
others,Black,4-cylinder(I4),automatic,petrol,Locally used,6,84607,1515000
Mack,White,6-cylinder(V6),manual,diesel,Locally used,27,0,8015000
Toyota,Silver,4-cylinder(I4),automatic,petrol,Foreign Used,15,197541,2215000
Lexus,Black,6-cylinder(I6),automatic,petrol,Foreign Used,15,103679,5185000
Mercedes Benz,Wine,4-cylinder(I4),automatic,petrol,Foreign Used,10,69987,5415000
Toyota,Blue,4-cylinder(I4),automatic,petrol,Foreign Used,10,156877,4980000
Toyota,Black,4-cylinder(I4),automatic,petrol,Foreign Used,9,84774,5515000
Mercedes Benz,White,4-cylinder(I4),automatic,petrol,Foreign Used,15,205040,5475000
others,White,6-cylinder(I6),manual,diesel,Locally used,17,0,9215000
Lexus,Black,6-cylinder(V6),automatic,petrol,Locally used,15,56242,2535000
Nissan,Black,6-cylinder(I6),automatic,petrol,Locally used,22,242564,865000
Toyota,Black,4-cylinder(I4),automatic,petrol,Locally used,16,238185,1665000
Ford,Wine,4-cylinder(I4),automatic,petrol,Foreign Used,11,119404,4915000
Hyundai,White,6-cylinder(V6),automatic,petrol,Foreign Used,16,125176,2165000
Mercedes Benz,Black,6-cylinder(V6),automatic,petrol,Foreign Used,14,146837,5515000
Toyota,Black,4-cylinder(I4),automatic,petrol,Foreign Used,7,156962,4965000
Mercedes Benz,Black,4-cylinder(I4),automatic,petrol,Foreign Used,9,45000,7515000
Honda,Black,4-cylinder(I4),automatic,petrol,Locally used,12,111950,2640000
Toyota,Black,4-cylinder(I4),automatic,petrol,Foreign Used,12,127308,3535000
Mercedes Benz,Silver,6-cylinder(I6),automatic,petrol,Locally used,24,102058,895000
Toyota,Blue,6-cylinder(V6),automatic,petrol,Foreign Used,9,48706,7715000
Toyota,Black,4-cylinder(I4),automatic,petrol,Foreign Used,10,89538,4320000
Toyota,Silver,4-cylinder(I4),automatic,petrol,Foreign Used,15,192395,3007500
Toyota,Silver,4-cylinder(I4),automatic,petrol,Foreign Used,12,76340,3415000
Toyota,Silver,6-cylinder(V6),automatic,petrol,Locally used,21,222618,1610000
Toyota,Black,4-cylinder(I4),automatic,petrol,Foreign Used,18,204396,1940000
Toyota,Silver,4-cylinder(I4),automatic,petrol,Foreign Used,4,1296,12445000
Toyota,Green,8-cylinder(V8),automatic,petrol,Locally used,19,240122,1290000
Honda,Blue,4-cylinder(I4),automatic,petrol,Locally used,14,69377,1865000
Toyota,Silver,4-cylinder(I4),automatic,petrol,Foreign Used,2,8153,17515000
Lexus,Black,6-cylinder(V6),automatic,petrol,Foreign Used,10,71621,7815000
Toyota,Wine,4-cylinder(I4),automatic,petrol,Foreign Used,7,83320,8015000
Ford,Black,4-cylinder(I4),automatic,petrol,Locally used,11,107576,1012500
Toyota,Silver,6-cylinder(V6),automatic,petrol,Foreign Used,11,93233,4665000
Mercedes Benz,Wine,6-cylinder(V6),automatic,petrol,Foreign Used,13,84969,9415000
Kia,Black,4-cylinder(I4),automatic,petrol,Foreign Used,9,73011,5790000
Toyota,Black,6-cylinder(V6),automatic,petrol,Locally used,13,66551,2875000
Mercedes Benz,Black,4-cylinder(I4),automatic,petrol,Foreign Used,9,149559,10515000
Mercedes Benz,Silver,6-cylinder(I6),automatic,petrol,Foreign Used,8,101523,12615000
Toyota,White,4-cylinder(I4),automatic,petrol,Foreign Used,15,140285,2490000
Toyota,White,4-cylinder(I4),automatic,petrol,Foreign Used,11,111194,2865000
Toyota,Black,4-cylinder(I4),automatic,petrol,Locally used,19,200000,1065000
others,White,6-cylinder(V6),manual,diesel,Locally used,14,0,12015000
Toyota,Silver,6-cylinder(I6),automatic,petrol,Foreign Used,6,42085,15215000
Toyota,Silver,4-cylinder(I4),automatic,petrol,Foreign Used,11,57259,3715000
Lexus,Black,6-cylinder(V6),automatic,petrol,Locally used,10,13572,7715000
Toyota,Gold,4-cylinder(I4),automatic,petrol,Foreign Used,8,42624,12515000
others,Blue,6-cylinder(I6),automatic,petrol,Foreign Used,13,159448,2085000
BMW,White,4-cylinder(I4),automatic,petrol,Foreign Used,8,156763,7890000
Toyota,Silver,4-cylinder(I4),automatic,petrol,Foreign Used,7,76839,6015000
Toyota,Black,4-cylinder(I4),automatic,petrol,Foreign Used,4,43989,14515000
Toyota,Blue,4-cylinder(I4),automatic,petrol,Foreign Used,13,65483,3315000
Hyundai,Black,6-cylinder(I6),automatic,petrol,Foreign Used,16,87510,2545000
Toyota,Wine,4-cylinder(I4),automatic,petrol,Foreign Used,10,102502,3865000
Mercedes Benz,Silver,4-cylinder(I4),automatic,petrol,Foreign Used,14,122558,3975000
Toyota,Wine,4-cylinder(I4),automatic,petrol,Foreign Used,15,132392,4575000
Toyota,Wine,4-cylinder(I4),automatic,petrol,Foreign Used,9,122397,7895000
Mercedes Benz,Black,6-cylinder(V6),automatic,petrol,Foreign Used,6,28399,13665000
Volvo,White,4-cylinder(I4),automatic,petrol,Locally used,12,52301,3165000
Mercedes Benz,Black,4-cylinder(I4),automatic,petrol,Foreign Used,9,92440,5790000
Mercedes Benz,White,6-cylinder(V6),automatic,petrol,Foreign Used,11,66834,6515000
Toyota,Wine,4-cylinder(I4),automatic,petrol,Foreign Used,7,120846,5002500
Toyota,Silver,4-cylinder(I4),automatic,petrol,Locally used,14,144211,1995000
Toyota,Blue,6-cylinder(V6),automatic,petrol,Foreign Used,15,234235,3205000
Honda,Black,4-cylinder(I4),automatic,petrol,Locally used,19,235471,515000
others,Black,4-cylinder(I4),automatic,petrol,Locally used,21,180869,400000
Toyota,Silver,4-cylinder(I4),automatic,petrol,Foreign Used,15,116617,2415000
Ford,Wine,6-cylinder(V6),automatic,petrol,Locally used,11,198940,3715000
Toyota,Silver,6-cylinder(V6),automatic,petrol,Foreign Used,17,68259,3315000
others,Wine,4-cylinder(I4),automatic,petrol,Foreign Used,26,137820,1515000
Honda,Silver,4-cylinder(I4),automatic,petrol,Foreign Used,10,194140,8265000
Toyota,Wine,4-cylinder(I4),automatic,petrol,Foreign Used,15,279634,2415000
Toyota,Silver,4-cylinder(I4),automatic,petrol,Foreign Used,7,49355,8015000
Toyota,Silver,4-cylinder(I4),automatic,petrol,Foreign Used,11,258528,2765000
Toyota,Silver,6-cylinder(I6),automatic,petrol,Foreign Used,14,48485,3515000
Toyota,Black,6-cylinder(V6),automatic,petrol,Foreign Used,14,121044,5515000
Toyota,Silver,4-cylinder(I4),automatic,petrol,Locally used,20,188936,1225000
Toyota,Gold,4-cylinder(I4),automatic,petrol,Foreign Used,18,98424,3515000
Nissan,Gold,4-cylinder(I4),automatic,petrol,Locally used,20,158404,815000
Hyundai,Black,4-cylinder(I4),automatic,petrol,Foreign Used,11,108957,4195000
Lexus,White,8-cylinder(V8),automatic,petrol,Locally used,19,85262,2325000
Toyota,White,6-cylinder(I6),automatic,petrol,Foreign Used,8,63529,8215000
Honda,Black,4-cylinder(I4),automatic,petrol,Locally used,16,185689,1615000
Toyota,Black,4-cylinder(I4),automatic,petrol,Foreign Used,8,22614,5575000
Toyota,Silver,6-cylinder(V6),automatic,petrol,Foreign Used,11,95471,5295000
Toyota,Silver,4-cylinder(I4),automatic,petrol,Foreign Used,13,151680,5215000
Toyota,Wine,4-cylinder(I4),automatic,petrol,Foreign Used,16,147186,2315000
Honda,Wine,4-cylinder(I4),automatic,petrol,Locally used,19,296267,765000
Toyota,Silver,4-cylinder(I4),automatic,petrol,Foreign Used,17,132217,2105000
Toyota,Black,4-cylinder(I4),automatic,petrol,Locally used,18,180573,1280000
Toyota,White,4-cylinder(I4),automatic,petrol,Locally used,20,256087,1225000
Honda,Silver,6-cylinder(I6),automatic,petrol,Foreign Used,15,76989,2115000
Toyota,Silver,4-cylinder(I4),automatic,petrol,Foreign Used,13,185091,2875000
Toyota,Silver,4-cylinder(I4),automatic,petrol,Foreign Used,9,45785,4815000
Ford,White,4-cylinder(I4),manual,diesel,Locally used,17,0,1855000
Chevrolet,Black,4-cylinder(I4),automatic,petrol,Foreign Used,7,51471,10015000
Honda,Silver,4-cylinder(I4),automatic,petrol,Foreign Used,15,203226,1915000
Mercedes Benz,Silver,6-cylinder(V6),automatic,petrol,Foreign Used,15,213116,4965000
Nissan,Silver,6-cylinder(V6),automatic,petrol,Locally used,18,172605,565000
Honda,Black,6-cylinder(I6),automatic,petrol,Locally used,12,88306,2325000
Mercedes Benz,Black,6-cylinder(I6),automatic,petrol,Foreign Used,8,49422,11015000
Honda,Wine,4-cylinder(I4),automatic,petrol,Locally used,9,55775,2765000
Nissan,Silver,4-cylinder(I4),automatic,petrol,Foreign Used,15,151973,1615000
Mercedes Benz,White,6-cylinder(I6),automatic,petrol,Foreign Used,6,15904,13140000
Toyota,Black,4-cylinder(I4),automatic,petrol,Foreign Used,7,84615,9465000
Toyota,Silver,6-cylinder(I6),automatic,petrol,Foreign Used,7,27930,14515000
Toyota,Silver,4-cylinder(I4),automatic,petrol,Foreign Used,7,115068,5265000
Hyundai,White,6-cylinder(I6),automatic,petrol,Locally used,15,138930,785000
Toyota,Black,4-cylinder(I4),automatic,petrol,Foreign Used,9,102396,5405000
Toyota,Silver,4-cylinder(I4),automatic,petrol,Foreign Used,14,157274,2325000
Toyota,Gold,6-cylinder(V6),automatic,petrol,Foreign Used,14,129571,2710000
Toyota,Silver,4-cylinder(I4),automatic,petrol,Foreign Used,10,104432,10215000
Toyota,Gold,4-cylinder(I4),automatic,petrol,Foreign Used,10,44843,4015000
BMW,Black,6-cylinder(I6),automatic,petrol,Foreign Used,13,84585,8515000
Toyota,Silver,6-cylinder(V6),automatic,petrol,Foreign Used,8,239207,5815000
Mercedes Benz,Blue,6-cylinder(V6),automatic,petrol,Foreign Used,9,108109,5055000
Toyota,Black,6-cylinder(V6),automatic,petrol,Locally used,13,49748,9365000
Honda,Blue,4-cylinder(I4),automatic,petrol,Foreign Used,8,15000,5515000
Toyota,Gold,6-cylinder(I6),automatic,petrol,Locally used,13,183059,1885000
Toyota,Silver,6-cylinder(I6),automatic,petrol,Foreign Used,6,87731,5790000
Lexus,Silver,4-cylinder(I4),automatic,petrol,Foreign Used,18,78285,2915000
Honda,Black,6-cylinder(I6),automatic,petrol,Locally used,13,95000,1615000
Lexus,Gold,6-cylinder(V6),automatic,petrol,Foreign Used,14,117274,4715000
Toyota,Wine,4-cylinder(I4),automatic,petrol,Foreign Used,14,83641,1995000
Toyota,Blue,6-cylinder(V6),automatic,petrol,Foreign Used,17,141956,2535000
Mercedes Benz,White,8-cylinder(V8),automatic,petrol,Foreign Used,14,193009,5015000
Toyota,Silver,4-cylinder(I4),automatic,petrol,Foreign Used,17,182207,2170000
Mercedes Benz,Black,6-cylinder(V6),automatic,petrol,Foreign Used,10,144717,12015000
Mazda,Silver,4-cylinder(I4),automatic,petrol,Foreign Used,17,118608,1365000
Toyota,Silver,4-cylinder(I4),automatic,petrol,Foreign Used,14,182938,5160000
Toyota,Green,4-cylinder(I4),manual,petrol,Foreign Used,22,109512,2765000
others,Blue,4-cylinder(I4),automatic,petrol,Foreign Used,16,78471,2665000
Mercedes Benz,Black,4-cylinder(I4),automatic,petrol,Foreign Used,9,67640,9015000
Toyota,Silver,4-cylinder(I4),automatic,petrol,Foreign Used,8,92649,7895000
Honda,Black,4-cylinder(I4),automatic,petrol,Locally used,13,104029,2215000
Lexus,Silver,6-cylinder(I6),automatic,petrol,Foreign Used,7,56713,11515000
Toyota,Black,4-cylinder(I4),automatic,petrol,Foreign Used,9,92455,7935000
Honda,Black,4-cylinder(I4),automatic,petrol,Foreign Used,4,24502,13515000
Ford,Blue,4-cylinder(I4),automatic,petrol,Locally used,8,63198,3015000
Toyota,Wine,4-cylinder(I4),automatic,petrol,Foreign Used,9,178766,7365000
Ford,Blue,6-cylinder(V6),automatic,petrol,Foreign Used,5,24178,15015000
Toyota,Silver,6-cylinder(I6),automatic,petrol,Foreign Used,15,82832,6615000
Toyota,Black,4-cylinder(I4),automatic,petrol,Foreign Used,13,76258,3515000
Lexus,Silver,6-cylinder(I6),automatic,petrol,Foreign Used,7,72903,9930000
Toyota,Blue,4-cylinder(I4),automatic,petrol,Locally used,14,156511,1890000
others,Black,4-cylinder(I4),automatic,petrol,Foreign Used,8,143705,5765000
Land Rover,Gold,4-cylinder(I4),automatic,petrol,Locally used,8,17433,16015000
Land Rover,Black,6-cylinder(V6),automatic,petrol,Locally used,14,128010,3215000
Toyota,Green,6-cylinder(V6),automatic,petrol,Foreign Used,13,78513,3465000
Honda,Black,4-cylinder(I4),automatic,petrol,Foreign Used,4,43416,14865000
Toyota,Black,6-cylinder(V6),automatic,petrol,Foreign Used,9,50547,6000000
Toyota,Gold,4-cylinder(I4),automatic,petrol,Locally used,20,214434,1465000
others,Blue,4-cylinder(I4),automatic,petrol,Foreign Used,21,28521,1275000
Toyota,Silver,6-cylinder(I6),automatic,petrol,Foreign Used,5,30971,16015000
Toyota,Silver,4-cylinder(I4),automatic,petrol,Foreign Used,19,292547,1775000
Toyota,Silver,6-cylinder(V6),automatic,petrol,Foreign Used,16,71192,4815000
Toyota,Wine,4-cylinder(I4),automatic,petrol,Foreign Used,9,62936,6715000
Ford,White,6-cylinder(V6),automatic,petrol,Foreign Used,9,114598,8205000
Toyota,Blue,4-cylinder(I4),automatic,petrol,Foreign Used,7,65666,5625000
Toyota,Black,4-cylinder(I4),automatic,petrol,Foreign Used,10,215589,4980000
Toyota,Gold,6-cylinder(V6),automatic,petrol,Locally used,12,22111,3715000
Toyota,Silver,4-cylinder(I4),automatic,petrol,Foreign Used,6,72426,10575000
Kia,Black,6-cylinder(I6),automatic,petrol,Locally used,10,64519,2465000
Nissan,Gold,6-cylinder(I6),automatic,petrol,Locally used,19,195750,715000
Toyota,Silver,4-cylinder(I4),automatic,petrol,Foreign Used,14,143175,2315000
Toyota,Black,4-cylinder(I4),automatic,petrol,Foreign Used,4,28990,16815000
Toyota,Black,4-cylinder(I4),automatic,petrol,Foreign Used,4,45268,11515000
Kia,White,4-cylinder(I4),manual,diesel,Locally used,16,99303,4015000
Mercedes Benz,White,6-cylinder(I6),automatic,petrol,Foreign Used,6,56061,17015000
others,Black,4-cylinder(I4),automatic,petrol,Locally used,10,68190,2315000
Toyota,White,4-cylinder(I4),automatic,petrol,Foreign Used,8,53273,8515000
others,Wine,6-cylinder(V6),automatic,petrol,Foreign Used,13,132908,3315000
Land Rover,White,8-cylinder(V8),automatic,petrol,Locally used,10,91321,6515000
Toyota,Black,6-cylinder(V6),automatic,petrol,Locally used,21,118777,1515000
Toyota,White,4-cylinder(I4),automatic,petrol,Foreign Used,18,136890,2270000
Toyota,Black,4-cylinder(I4),automatic,petrol,Foreign Used,6,96801,7415000
Toyota,Blue,4-cylinder(I4),manual,petrol,Foreign Used,13,253339,2535000
Toyota,Black,4-cylinder(I4),automatic,petrol,Foreign Used,11,106619,3690000
Land Rover,Silver,4-cylinder(I4),automatic,petrol,Foreign Used,9,131898,9515000
Toyota,Black,4-cylinder(I4),automatic,petrol,Locally used,18,212500,515000
Volvo,Green,8-cylinder(V8),automatic,petrol,Locally used,15,157078,1465000
others,Wine,4-cylinder(I4),automatic,petrol,Foreign Used,18,156041,1958000
Toyota,Silver,6-cylinder(V6),automatic,petrol,Foreign Used,7,150054,11015000
Toyota,Silver,6-cylinder(V6),automatic,petrol,Foreign Used,16,199590,2715000
Honda,Black,4-cylinder(I4),automatic,petrol,Locally used,14,116910,715000
Toyota,Black,4-cylinder(I4),automatic,petrol,Foreign Used,11,92991,3015000
Mercedes Benz,Blue,4-cylinder(I4),automatic,petrol,Foreign Used,8,80824,12015000
Toyota,Black,4-cylinder(I4),automatic,petrol,Foreign Used,11,67311,2815000
others,Blue,6-cylinder(V6),automatic,petrol,Locally used,11,72441,10515000
Lexus,Black,6-cylinder(V6),automatic,petrol,Locally used,20,176873,1515000
Lexus,Black,4-cylinder(I4),automatic,petrol,Foreign Used,18,76271,4015000
Toyota,Blue,4-cylinder(I4),automatic,petrol,Foreign Used,19,173775,1815000
BMW,Silver,4-cylinder(I4),automatic,petrol,Foreign Used,18,190141,2015000
Lexus,Black,8-cylinder(V8),automatic,petrol,Foreign Used,12,75518,13115000
Toyota,White,4-cylinder(I4),automatic,petrol,Foreign Used,6,33466,11565000
BMW,Silver,4-cylinder(I4),automatic,petrol,Foreign Used,12,69696,3315000
Toyota,Gold,4-cylinder(I4),automatic,petrol,Foreign Used,16,179337,2215000
others,White,4-cylinder(I4),automatic,petrol,Foreign Used,16,89539,1775000
Toyota,Silver,6-cylinder(V6),automatic,petrol,Foreign Used,14,89289,6175000
Kia,Silver,4-cylinder(I4),automatic,petrol,Foreign Used,9,132795,3715000
Toyota,Silver,6-cylinder(V6),automatic,petrol,Foreign Used,6,38773,16015000
Lexus,Blue,6-cylinder(V6),automatic,petrol,Foreign Used,12,46667,7890000
Honda,Black,4-cylinder(I4),automatic,petrol,Foreign Used,14,32342,3120000
Ford,Black,6-cylinder(V6),automatic,petrol,Locally used,9,70764,4765000
Lexus,Silver,6-cylinder(V6),automatic,petrol,Foreign Used,12,66322,6515000
Toyota,White,4-cylinder(I4),automatic,petrol,Foreign Used,10,74718,7215000
Lexus,Black,4-cylinder(I4),automatic,petrol,Foreign Used,15,133295,4635000
Mercedes Benz,White,4-cylinder(I4),automatic,petrol,Foreign Used,5,66649,13015000
Toyota,Silver,6-cylinder(V6),automatic,petrol,Foreign Used,7,170153,8015000
Toyota,Blue,4-cylinder(I4),automatic,petrol,Foreign Used,12,76583,3515000
Honda,Black,6-cylinder(V6),automatic,petrol,Locally used,12,156135,2715000
Toyota,Black,4-cylinder(I4),automatic,petrol,Foreign Used,4,12936,16015000
Mercedes Benz,Black,8-cylinder(V8),automatic,petrol,Foreign Used,13,139072,5315000
Toyota,Green,4-cylinder(I4),automatic,petrol,Foreign Used,7,83686,5580000
Ford,Black,8-cylinder(V8),automatic,petrol,Foreign Used,14,96000,5405000
Toyota,Silver,6-cylinder(I6),automatic,petrol,Foreign Used,10,67524,6365000
Toyota,Black,6-cylinder(V6),automatic,petrol,Foreign Used,15,157000,4815000
Toyota,Silver,4-cylinder(I4),automatic,petrol,Foreign Used,11,125748,3690000
Toyota,Silver,6-cylinder(I6),automatic,petrol,Foreign Used,6,16519,15015000
Ford,White,6-cylinder(V6),automatic,petrol,Foreign Used,14,183695,2955000
Lexus,Black,8-cylinder(V8),automatic,petrol,Foreign Used,9,88896,16515000
Toyota,Black,4-cylinder(I4),automatic,petrol,Foreign Used,13,71389,3690000
Toyota,White,6-cylinder(I6),automatic,petrol,Foreign Used,13,123869,4385000
Toyota,Silver,6-cylinder(I6),automatic,petrol,Foreign Used,10,113145,7015000
others,Black,4-cylinder(I4),automatic,petrol,Foreign Used,17,35000,1855000
Lexus,White,4-cylinder(I4),automatic,petrol,Foreign Used,6,38221,16290000
Toyota,Green,4-cylinder(I4),automatic,petrol,Foreign Used,12,90586,2865000
Toyota,Black,4-cylinder(I4),automatic,petrol,Foreign Used,11,85914,2985000
Honda,Silver,6-cylinder(I6),automatic,petrol,Foreign Used,18,194634,1715000
Toyota,Black,4-cylinder(I4),automatic,petrol,Foreign Used,6,21788,8940000
Kia,Black,4-cylinder(I4),automatic,petrol,Locally used,10,190621,1275000
Toyota,Blue,4-cylinder(I4),automatic,petrol,Foreign Used,19,265372,1865000
Ford,Black,4-cylinder(I4),automatic,petrol,Foreign Used,11,175912,5215000
Nissan,Black,6-cylinder(V6),automatic,petrol,Locally used,16,133831,900000
Toyota,White,4-cylinder(I4),automatic,petrol,Foreign Used,13,82288,2915000
Toyota,Wine,4-cylinder(I4),automatic,petrol,Locally used,12,170530,1815000
Toyota,Wine,4-cylinder(I4),automatic,petrol,Foreign Used,12,130040,3755000
Mercedes Benz,Silver,6-cylinder(I6),automatic,petrol,Foreign Used,7,34644,10480000
others,White,6-cylinder(V6),automatic,petrol,Foreign Used,8,71812,13515000
Ford,Wine,4-cylinder(I4),automatic,petrol,Foreign Used,11,124097,5370000
Toyota,Wine,6-cylinder(I6),automatic,petrol,Foreign Used,12,141006,3550000
Chevrolet,Silver,6-cylinder(I6),automatic,petrol,Locally used,12,94653,4005000
Honda,Black,4-cylinder(I4),manual,petrol,Locally used,21,145230,400000
Ford,Silver,6-cylinder(V6),automatic,petrol,Foreign Used,6,61219,14015000
Toyota,Black,4-cylinder(I4),automatic,petrol,Foreign Used,9,179289,4195000
Toyota,Black,4-cylinder(I4),automatic,petrol,Locally used,24,245417,565000
Lexus,Black,6-cylinder(I6),automatic,petrol,Foreign Used,13,69575,4005000
Toyota,Blue,4-cylinder(I4),automatic,petrol,Foreign Used,16,88243,2415000
Honda,Black,4-cylinder(I4),automatic,petrol,Locally used,18,140155,615000
Toyota,Gold,4-cylinder(I4),automatic,petrol,Foreign Used,4,17346,11615000
Mercedes Benz,Black,6-cylinder(I6),automatic,petrol,Foreign Used,9,45220,9145000
Toyota,Silver,4-cylinder(I4),automatic,petrol,Foreign Used,6,133661,5015000
Toyota,Black,4-cylinder(I4),automatic,petrol,Foreign Used,13,114239,4915000
Toyota,Wine,4-cylinder(I4),automatic,petrol,Foreign Used,8,52442,8815000
Toyota,Silver,6-cylinder(V6),automatic,petrol,Locally used,17,228751,1642500
Mercedes Benz,Black,6-cylinder(I6),automatic,petrol,Foreign Used,9,152224,11030000
